"link","nazwa","cena","marka","srednia_ocena","liczba_ocen","typ_produktu","skladniki","alergeny"
"https://www.hebe.pl/missha-krem-bb-z-filtrem-spf42-pa-do-twarzy-23-natural-beige-20-ml-000000000000301819.html","Krem bb z filtrem spf42/pa+++ do twarzy 23 natural beige",32.99,"Missha",5,2997,"Kremy BB i CC","Water (Aqua), Cyclopentasiloxane, Ethylhexyl Methoxycinnamate, Zinc Oxide, Propylene Glycol, Titanium Dioxide, Caprylic/Capric Triglyceride, Peg-10 Dimethicone, Glycerin, Cetyl Peg/Ppg-10/1 Dimethicone, Arbutin, Mineral Oil, Polyethylene, Talc, Phenyl Trimethicone, Beeswax (Cera Alba), Iron Oxides (Ci 77492), Sodium Chloride, Iron Oxides (Ci 77499), Iron Oxides (Ci 77491), Methylparaben, Dimethicone, Propylparaben, Rosa Canina Fruit Oil, Squalane, Macadamia Ternifolia Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Cyclotetrasiloxane, Disodium Edta, Adenosine, Algae Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Chamomilla Recutita (Matricaria) Flower Extract, Ceramide Np, Butylene Glycol, Fagus Sylvatica Bud Extract, Hydrolyzed Collagen, Caprylyl Glycol, Benzyl Alcohol, 1, 2-Hexanediol, Caprylhydroxamic Acid, Tocopherol, Benzoic Acid, Sodium Hyaluronate, Phenoxyethanol, Tropolone, Fragrance (Parfum), Benzyl Salicylate, Hydroxycitronellal, Alpha-Isomethyl Ionone, Hexyl Cinnamal, Linalool, Citronellol, Limonene","fragrance, paraben, alcohol, propylene glycol"
"https://www.hebe.pl/cosrx-plasterki-punktowe-24-szt.-1-opak.-000000000000476569.html","Plasterki punktowe",17.99,"Cosrx",5,356,"Preparaty punktowe na wypryski","Hikorez h-2100 (Petroleum Hydrocarbon Resin), Songnox 1010 (Tetrakismethane, Antioxidant), Quintone 100 Series-1 (Styrene Isoprene Styrene Block Copolymer), Aquasorb A500 Cellulose Gum, Polyisobutylene, Mineral Oil (Liquid Paraffin), Polyurethane Film",NA
"https://www.hebe.pl/missha-krem-bb-z-filtrem-spf42-pa-do-twarzy-23-natural-beige-50-ml-000000000000301825.html","Krem bb z filtrem spf42/pa+++ do twarzy 23 natural beige",69.99,"Missha",5,822,"Kremy BB i CC","Water (Aqua), Cyclopentasiloxane, Ethylhexyl Methoxycinnamate, Zinc Oxide, Propylene Glycol, Titanium Dioxide, Caprylic/Capric Triglyceride, Peg-10 Dimethicone, Glycerin, Cetyl Peg/Ppg-10/1 Dimethicone, Arbutin, Mineral Oil, Polyethylene, Talc, Phenyl Trimethicone, Beeswax (Cera Alba), Iron Oxides (Ci 77492), Sodium Chloride, Iron Oxides (Ci 77499), Iron Oxides (Ci 77491), Methylparaben, Dimethicone, Propylparaben, Rosa Canina Fruit Oil, Squalane, Macadamia Ternifolia Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Cyclotetrasiloxane, Disodium Edta, Adenosine, Algae Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Chamomilla Recutita (Matricaria) Flower Extract, Ceramide Np, Butylene Glycol, Fagus Sylvatica Bud Extract, Hydrolyzed Collagen, Caprylyl Glycol, Benzyl Alcohol, 1, 2-Hexanediol, Caprylhydroxamic Acid, Tocopherol, Benzoic Acid, Sodium Hyaluronate, Phenoxyethanol, Tropolone, Fragrance (Parfum), Benzyl Salicylate, Hydroxycitronellal, Alpha-Isomethyl Ionone, Hexyl Cinnamal, Linalool, Citronellol, Limonene.","fragrance, paraben, alcohol, propylene glycol"
"https://www.hebe.pl/puorella-odmladzajaco-ujedrniajaca-maska-w-plachcie-z-kolagenem-do-twarzy-21-g-000000000000390555.html","Odmładzająco-ujędrniająca maska w płachcie z kolagenem do twarzy",4.99,"Puorella",5,377,"Maseczki","Water, Glycerin, Alcohol, Panthenol, Butylene Glycol, Trehalose, Sodium Hyaluronate, Carbomer, Triethanolamine, Phenoxyethanol, Peg-60 Hydrogenated Castor Oil, Chlorphenesin, Collagen Extract, Lavandula Angustifolia (Lavender) Flower Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Salvia Officinalis (Sage) Extract, Chamomilla Recutita (Matricaria) Flower Extract, Mentha Piperita (Peppermint) Leaf Extract, Disodium Edta, Fragrance","fragrance, alcohol"
"https://www.hebe.pl/puorella-nawilzajaco-kojaca-maska-w-plachcie-z-ekstraktem-z-aloesu-do-twarzy-21-g-000000000000390554.html","Nawilżająco-kojąca maska w płachcie z ekstraktem z aloesu do twarzy",4.99,"Puorella",5,308,"Maseczki","Water, Glycerin, Alcohol, Panthenol, Butylene Glycol, Trehalose, Carbomer, Triethanolamine, Phenoxyethanol, Peg-60 Hydrogenated Castor Oil, Chlorphenesin, Aloe Barbadensis Leaf Extract, Centella Asiatica Extract, Lavandula Angustifolia (Lavender) Flower Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Salvia Officinalis (Sage) Extract, Chamomilla Recutita (Matricaria) Flower Extract, Mentha Piperita (Peppermint) Leaf Extract, Disodium Edta, Fragrance","fragrance, alcohol"
"https://www.hebe.pl/puorella-odzywcza-maska-do-twarzy-21-g-000000000000390552.html","Odżywcza maska do twarzy",4.99,"Puorella",5,198,"Maseczki","Water, Glycerin, Alcohol, Panthenol, Butylene Glycol, Trehalose, Carbomer, Triethanolamine, Phenoxyethanol, Peg-60 Hydrogenated Castor Oil, Chlorphenesin, Honey Extract, Royal Jelly Extract, Lavandula Angustifolia (Lavender) Flower Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Salvia Officinalis (Sage) Extract, Chamomilla Recutita (Matricaria) Flower Extract, Mentha Piperita (Peppermint) Leaf Extract, Disodium Edta, Fragrance","fragrance, alcohol"
"https://www.hebe.pl/cosrx-nawilzajaca-esencja-do-twarzy-100-ml-000000000000454111.html","Nawilżająca esencja do twarzy",79.99,"Cosrx",5,894,"Serum, esencje i ampułki","Snail Secretion Filtrate, Betaine, Butylene Glycol, 1, 2-Hexanediol, Sodium Polyacrylate, Phenoxyethanol, Sodium Hyaluronate, Allantoin, Ethyl Hexanediol, Carbomer, Panthenol, Arginine, Aqua/Water",NA
"https://www.hebe.pl/purederm-kolagenowa-maska-pod-oczy-30-szt-000000000000235939.html","Kolagenowa maseczka pod oczy",10.99,"Purederm",5,930,"Kremy i serum pod oczy","Aqua, Glycerin, Hydroxyethylcellulose, Natto Gum, Allantoin, Arbutin, Disodium Edta, Panthenol, Carica Papaya (Papaya), Fruit Extract, Rosa Centifolia Flower Water, Camellia Sinensis Leaf Extract, Morus Alba Bark Extract, Beta-Glucan, Peg-60, Hydrogenated Castor Oil, Tocopheryl Acetate, Phenoxyethanol, Methylparaben.","paraben"
"https://www.hebe.pl/missha-krem-bb-z-serum-do-twarzy-z-spf50-pa-no.-21-20-ml-000000000000559419.html","Krem bb z serum do twarzy z spf50+ pa++++ no. 21",34.89,"Missha",5,102,"Kremy BB i CC","Aqua, Cyclopentasiloxane, Zinc Oxide, Butylene Glycol, Homosalate, Titanium Dioxide, Caprylic/Capric Triglyceride, Ethylhexyl Salicylate, Peg-10 Dimethicone, Iron Oxides(Ci 77492), Niacinamide, Cetyl Peg/Ppg-10/1 Dimethicone, Magnesium Sulfate, Pentylene Glycol, Disteardimonium Hectorite, Synthetic Fluorphlogopite, Stearic Acid, Aluminum Hydroxide, Triethoxycaprylylsilane, Iron Oxides(Ci 77491), Iron Oxides(Ci 77499), Caprylyl Glycol, Glyceryl Caprylate, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Ethylhexylglycerin, Alumina, Disodium Stearoyl Glutamate, Hectorite, Adenosine, Pelargonium Graveolens Flower Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Lavandula Angustifolia (Lavender) Oil, Anthemis Nobilis Flower Oil, Tocopherol, Santalum Album (Sandalwood) Oil, 1, 2-Hexanediol, Bifida Ferment Lysate, Glycerin, Lactobacillus Ferment, Lactobacillus/Acerola Cherry Ferment, Lactococcus Ferment, Leuconostoc/Radish Root Ferment Filtrate, Bifida Ferment Filtrate, Lactobacillus/Soybean Ferment Extract, Lactobacillus/Punica Granatum Fruit Ferment Extract, Lactobacillus Ferment Lysate, Lactococcus Ferment Lysate, Oryza Sativa (Rice) Extract, Saccharomyces Ferment, Beta Vulgaris (Beet) Root Extract, Daucus Carota Sativa (Carrot) Root Extract, Brassica Oleracea Capitata (Cabbage) Leaf Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Solanum Melongena (Eggplant) Fruit Extract, Bacillus Ferment",NA
"https://www.hebe.pl/mbeauty-zelowa-maska-ujedrniajaca-w-plachcie-do-twarzy-25-ml-000000000000475872.html","Żelowa maska ujędrniająca w płachcie do twarzy",9.99,"MBeauty",5,96,"Maseczki","Water(Aqua), Glycerin, Propylene Glycol, Dipropylene Glycol, 1, 2-Hexanediol, Benzyl Glycol, Arginine, Ethylhexylglycerin, Carbomer, Polysorbate 80, Betaine, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Adenosine, Butylene Glycol, Panthenol, Disodium Edta, Tocopheryl Acetate, Butyrospermum Parkii (Shea) Butter, Menthol, Paeonia Suffruticosa Root Extract, Sodium Hyaluronate, Carrageenan, Aloe Barbadensis Leaf Juice, Sucrose, Panax Ginseng Root Extract, Glycine Soja (Soybean) Seed Extract, Natto Gum, Fragrance(Parfum)","fragrance, propylene glycol"
